		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat		THSW			Rain	Solar	Solar	Hi Solar		UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	UV 	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
06/07/25	3:50 a	22.6	22.6	22.5	91	21.0	0.0	---	0.00	0.0	---	22.6	23.9	23.9	23.0	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.6	60	15.3	24.0	0.00	233	1	100.0	10
06/07/25	4:00 a	22.5	22.6	22.5	91	21.0	0.0	---	0.00	0.0	---	22.5	23.8	23.8	22.9	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.6	60	15.3	24.0	0.00	228	1	100.0	10
06/07/25	4:10 a	22.5	22.6	22.5	91	21.0	0.0	---	0.00	0.0	---	22.5	23.8	23.8	22.9	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.6	61	15.6	24.1	0.00	234	1	100.0	10
06/07/25	4:20 a	22.5	22.5	22.4	91	21.0	0.0	---	0.00	0.0	---	22.5	23.8	23.8	22.9	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.6	61	15.6	24.1	0.00	234	1	100.0	10
06/07/25	4:30 a	22.4	22.4	22.3	91	20.8	0.0	---	0.00	0.0	---	22.4	23.7	23.7	22.8	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.028	23.7	62	16.0	24.2	0.00	231	1	100.0	10
06/07/25	4:40 a	22.3	22.3	22.3	91	20.7	0.0	---	0.00	0.0	---	22.3	23.6	23.6	22.6	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	62	16.0	24.2	0.00	228	1	100.0	10
06/07/25	4:50 a	22.3	22.3	22.3	91	20.7	0.0	---	0.00	0.0	---	22.3	23.6	23.6	22.6	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	62	16.0	24.3	0.00	233	1	100.0	10
06/07/25	5:00 a	22.3	22.3	22.2	91	20.7	0.0	---	0.00	0.0	---	22.3	23.6	23.6	22.6	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	62	16.0	24.3	0.00	234	1	100.0	10
06/07/25	5:10 a	22.3	22.3	22.2	92	20.9	0.0	---	0.00	0.0	---	22.3	23.7	23.7	22.7	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	63	16.3	24.3	0.00	234	1	100.0	10
06/07/25	5:20 a	22.2	22.2	22.2	91	20.7	0.0	---	0.00	0.0	---	22.2	23.5	23.5	22.6	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	63	16.3	24.3	0.00	229	1	100.0	10
06/07/25	5:30 a	22.2	22.2	22.2	91	20.6	0.0	---	0.00	0.0	---	22.2	23.4	23.4	22.5	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.8	63	16.3	24.4	0.00	234	1	100.0	10
06/07/25	5:40 a	22.2	22.2	22.1	91	20.6	0.0	---	0.00	0.0	---	22.2	23.4	23.4	22.5	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.027	23.7	61	15.8	24.2	0.00	234	1	100.0	10
06/07/25	5:50 a	22.1	22.2	22.1	92	20.7	0.0	---	0.00	0.0	---	22.1	23.4	23.4	22.5	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.026	23.5	61	15.5	24.0	0.00	234	1	100.0	10
06/07/25	6:00 a	22.0	22.1	22.0	92	20.6	0.0	---	0.00	0.0	---	22.0	23.3	23.3	22.4	755.2	0.00	0.0	3	0.04	9	0.0	0.00	0.0	0.000	0.025	23.4	61	15.5	23.9	0.00	227	1	99.6	10
06/07/25	6:10 a	22.0	22.1	22.0	92	20.6	0.0	---	0.00	0.0	---	22.0	23.3	23.3	22.6	755.3	0.00	0.0	13	0.19	14	0.0	0.00	0.0	0.000	0.025	23.5	61	15.5	24.0	0.00	234	1	100.0	10
06/07/25	6:20 a	22.0	22.1	22.0	92	20.6	0.0	---	0.00	0.0	---	22.0	23.3	23.3	22.6	755.3	0.00	0.0	17	0.24	23	0.0	0.00	0.0	0.000	0.025	23.5	62	15.8	24.0	0.00	232	1	100.0	10
06/07/25	6:30 a	22.0	22.1	22.0	92	20.6	0.0	---	0.00	0.0	---	22.0	23.3	23.3	22.8	755.3	0.00	0.0	27	0.39	30	0.0	0.00	0.0	0.000	0.025	23.6	62	15.8	24.1	0.00	234	1	100.0	10
06/07/25	6:40 a	22.1	22.1	22.0	92	20.7	0.0	---	0.00	0.0	---	22.1	23.4	23.4	23.0	755.4	0.00	0.0	42	0.60	51	0.0	0.00	0.0	0.000	0.026	23.6	62	15.8	24.1	0.00	228	1	100.0	10
06/07/25	6:50 a	22.0	22.1	22.0	92	20.6	0.0	---	0.00	0.0	---	22.0	23.3	23.3	23.0	755.4	0.00	0.0	46	0.66	49	0.0	0.00	0.0	0.000	0.025	23.6	63	16.2	24.2	0.00	233	1	100.0	10
06/07/25	7:00 a	22.1	22.1	22.0	92	20.7	0.0	---	0.00	0.0	---	22.1	23.4	23.4	23.3	755.4	0.00	0.0	65	0.93	88	0.0	0.00	0.0	0.000	0.026	23.6	63	16.2	24.2	0.03	233	1	100.0	10
06/07/25	7:10 a	22.1	22.2	22.1	92	20.7	0.0	---	0.00	0.0	---	22.1	23.4	23.4	25.0	755.3	0.00	0.0	90	1.29	93	0.0	0.00	0.0	0.000	0.026	23.7	63	16.2	24.3	0.00	234	1	100.0	10
06/07/25	7:20 a	22.3	22.3	22.2	92	20.9	0.0	---	0.00	0.0	---	22.3	23.7	23.7	25.4	755.3	0.00	0.0	95	1.36	102	0.4	0.02	0.5	0.000	0.027	23.7	64	16.5	24.3	0.00	229	1	100.0	10
06/07/25	7:30 a	22.4	22.4	22.3	92	21.0	0.0	---	0.00	0.0	---	22.4	23.8	23.8	25.8	755.4	0.00	0.0	110	1.58	114	0.6	0.03	0.6	0.000	0.028	23.7	64	16.5	24.3	0.00	232	1	100.0	10
06/07/25	7:40 a	22.5	22.6	22.4	92	21.1	0.0	---	0.00	0.0	---	22.5	23.9	23.9	25.9	755.2	0.00	0.0	109	1.56	118	0.7	0.04	0.7	0.000	0.029	23.7	64	16.5	24.4	0.00	233	1	100.0	10
06/07/25	7:50 a	22.6	22.7	22.6	92	21.2	0.0	---	0.00	0.0	---	22.6	24.1	24.1	26.8	755.3	0.00	0.0	148	2.12	179	0.9	0.05	0.9	0.000	0.030	23.8	61	15.8	24.3	0.00	234	1	100.0	10
06/07/25	8:00 a	22.8	22.8	22.7	92	21.4	0.0	---	0.00	0.0	---	22.8	24.2	24.2	27.2	755.2	0.00	0.0	163	2.34	206	0.9	0.05	1.0	0.000	0.031	23.6	61	15.6	24.1	0.08	228	1	100.0	10
06/07/25	8:10 a	22.9	23.0	22.8	92	21.5	0.0	---	0.00	0.0	---	22.9	24.3	24.3	26.1	755.4	0.00	0.0	112	1.61	128	0.7	0.04	0.7	0.000	0.032	23.6	62	15.8	24.1	0.00	233	1	100.0	10
06/07/25	8:20 a	23.0	23.1	22.9	92	21.6	0.0	---	0.00	0.0	---	23.0	24.4	24.4	26.3	755.6	0.00	0.0	119	1.71	141	0.8	0.04	1.0	0.000	0.032	23.6	62	15.8	24.1	0.00	234	1	100.0	10
06/07/25	8:30 a	23.0	23.0	22.9	92	21.6	0.0	---	0.00	0.0	---	23.0	24.4	24.4	27.3	755.7	0.00	0.0	179	2.57	206	1.2	0.06	1.3	0.000	0.032	23.7	62	16.0	24.2	0.00	235	1	100.0	10
06/07/25	8:40 a	23.0	23.1	23.0	92	21.6	0.0	---	0.00	0.0	---	23.0	24.4	24.4	26.8	755.7	0.00	0.0	156	2.24	199	1.2	0.06	1.3	0.000	0.032	23.7	63	16.3	24.3	0.00	225	1	98.7	10
06/07/25	8:50 a	23.1	23.1	23.0	92	21.7	0.0	---	0.00	0.0	---	23.1	24.5	24.5	26.4	755.6	0.00	0.0	135	1.94	202	1.6	0.09	2.5	0.000	0.033	23.8	63	16.3	24.4	0.00	231	1	100.0	10
06/07/25	9:00 a	23.2	23.3	23.1	92	21.8	0.0	---	0.00	0.0	---	23.2	24.7	24.7	30.8	755.6	0.00	0.0	477	6.84	483	2.6	0.14	2.7	0.000	0.034	23.8	63	16.4	24.4	0.13	231	1	100.0	10
06/07/25	9:10 a	23.6	23.7	23.3	92	22.2	0.0	N	0.00	2.2	NNE	23.6	25.2	25.2	31.5	755.7	0.00	0.0	503	7.21	517	2.9	0.16	3.1	0.000	0.036	23.9	63	16.4	24.5	0.00	227	1	99.6	10
06/07/25	9:20 a	23.9	24.1	23.7	92	22.5	0.0	SE	0.00	1.3	SE	23.9	25.8	25.8	32.2	755.5	0.00	0.0	536	7.68	561	3.2	0.17	3.4	0.000	0.039	23.9	64	16.7	24.6	0.00	225	1	98.7	10
06/07/25	9:30 a	24.3	24.4	24.1	92	22.9	0.4	NE	0.27	2.7	NE	24.3	26.3	26.3	32.5	755.5	0.00	0.0	589	8.44	628	3.5	0.19	3.7	0.000	0.041	23.9	61	15.9	24.4	0.00	232	1	100.0	10
06/07/25	9:40 a	24.6	24.8	24.5	91	23.0	0.4	NNE	0.27	3.6	N	24.6	26.7	26.7	33.2	755.5	0.00	0.0	589	8.44	596	3.8	0.20	3.9	0.000	0.044	23.8	61	15.8	24.3	0.00	232	1	100.0	10
06/07/25	9:50 a	25.1	25.2	24.8	91	23.5	0.0	N	0.00	1.3	N	25.1	27.4	27.4	34.0	755.4	0.00	0.0	610	8.74	622	4.1	0.22	4.3	0.000	0.047	23.8	61	15.9	24.4	0.00	229	1	100.0	10
06/07/25	10:00 a	25.3	25.5	25.2	91	23.8	0.4	NNE	0.27	2.2	NNE	25.3	27.9	27.9	34.5	755.4	0.00	0.0	634	9.09	647	4.4	0.24	4.5	0.000	0.049	23.9	62	16.2	24.5	0.36	225	1	98.7	10
06/07/25	10:10 a	25.7	25.8	25.5	90	24.0	0.9	S	0.54	2.7	SSW	25.7	28.6	28.6	35.2	755.3	0.00	0.0	663	9.50	679	4.7	0.25	4.9	0.000	0.051	24.1	62	16.3	24.6	0.00	227	1	99.6	10
06/07/25	10:20 a	25.9	25.9	25.8	90	24.1	0.4	S	0.27	1.8	SSW	25.9	28.8	28.8	35.6	755.2	0.00	0.0	689	9.88	700	5.0	0.27	5.2	0.000	0.052	24.1	59	15.6	24.5	0.00	226	1	99.1	10
06/07/25	10:30 a	26.0	26.1	25.9	90	24.2	0.0	SSE	0.00	1.8	SSE	26.0	29.1	29.1	35.8	755.3	0.00	0.0	710	10.18	719	5.4	0.29	5.5	0.000	0.053	24.0	60	15.8	24.5	0.00	230	1	100.0	10
06/07/25	10:40 a	26.2	26.3	26.1	89	24.3	0.4	ESE	0.27	2.7	S	26.2	29.4	29.4	36.2	755.1	0.00	0.0	731	10.48	738	5.6	0.30	5.8	0.000	0.055	24.1	60	15.8	24.5	0.00	226	1	99.1	10
06/07/25	10:50 a	26.4	26.5	26.3	89	24.4	0.4	N	0.27	4.0	NNE	26.4	29.7	29.7	36.5	755.1	0.00	0.0	751	10.77	759	5.9	0.32	6.1	0.000	0.056	24.3	60	16.0	24.7	0.00	229	1	100.0	10
06/07/25	11:00 a	26.6	26.7	26.5	88	24.4	0.0	S	0.00	1.8	S	26.6	29.9	29.9	36.7	755.0	0.00	0.0	770	11.04	780	6.3	0.34	6.4	0.000	0.057	24.4	60	16.2	24.8	0.46	228	1	100.0	10
06/07/25	11:10 a	26.8	26.9	26.7	88	24.7	0.4	S	0.27	2.2	S	26.8	30.6	30.6	37.4	755.0	0.00	0.0	790	11.32	798	6.5	0.35	6.7	0.000	0.059	24.5	59	16.0	24.8	0.00	230	1	100.0	10
06/07/25	11:20 a	27.0	27.1	26.9	87	24.6	0.4	NE	0.27	2.7	NE	27.0	30.8	30.8	37.6	755.0	0.00	0.0	810	11.61	812	6.8	0.36	6.9	0.000	0.060	24.4	59	15.9	24.7	0.00	224	1	98.2	10
06/07/25	11:30 a	27.2	27.3	27.1	86	24.7	1.3	SSE	0.80	4.0	S	27.2	31.2	31.2	38.1	755.1	0.00	0.0	814	11.67	821	7.1	0.38	7.1	0.000	0.062	24.5	60	16.2	24.9	0.00	230	1	100.0	10
06/07/25	11:40 a	27.4	27.6	27.3	86	24.9	0.9	E	0.54	4.5	S	27.4	31.7	31.7	38.2	755.1	0.00	0.0	879	12.60	939	7.6	0.41	8.0	0.000	0.063	24.7	58	15.8	25.0	0.00	230	1	100.0	10
06/07/25	11:50 a	27.7	27.8	27.6	85	24.9	0.4	NNE	0.27	2.2	NE	27.7	32.2	32.2	38.6	755.1	0.00	0.0	943	13.52	991	7.9	0.42	8.0	0.000	0.065	24.6	58	15.8	24.9	0.00	227	1	99.6	10
06/07/25	12:00 p	27.9	28.1	27.8	85	25.2	0.4	S	0.27	2.7	S	27.9	32.9	32.9	39.6	755.0	0.00	0.0	691	9.91	1046	7.1	0.38	8.7	0.000	0.067	24.7	59	16.1	25.1	0.51	225	1	98.7	10
06/07/25	12:10 p	28.2	28.3	28.1	84	25.3	0.4	NE	0.27	3.6	ESE	28.2	33.5	33.5	40.3	755.0	0.00	0.0	706	10.12	1055	6.6	0.35	8.9	0.000	0.069	24.8	58	16.0	25.2	0.00	223	1	97.8	10
06/07/25	12:20 p	28.4	28.6	28.3	82	25.1	2.2	ESE	1.34	5.8	E	28.4	33.8	33.8	40.5	754.8	0.00	0.0	910	13.05	1020	8.4	0.45	8.8	0.000	0.070	24.8	58	16.0	25.1	0.00	223	1	97.8	10
06/07/25	12:30 p	28.6	28.7	28.6	82	25.2	0.9	S	0.54	4.0	SE	28.6	34.3	34.3	41.4	754.6	0.00	0.0	808	11.58	1204	7.1	0.38	9.4	0.000	0.071	24.8	59	16.3	25.2	0.00	229	1	100.0	10
06/07/25	12:40 p	28.8	28.9	28.7	81	25.2	0.4	SSW	0.27	3.1	SW	28.8	34.6	34.6	41.0	754.4	0.00	0.0	1008	14.45	1164	7.6	0.41	9.2	0.000	0.073	24.9	57	15.8	25.2	0.00	227	1	99.6	10
06/07/25	12:50 p	29.0	29.1	28.9	79	25.0	1.3	SSE	0.80	4.9	SSE	29.0	34.7	34.7	41.8	754.2	0.00	0.0	818	11.73	1181	8.3	0.44	10.0	0.000	0.074	24.8	58	16.0	25.2	0.00	224	1	98.2	10
06/07/25	1:00 p	29.1	29.1	29.1	78	24.9	0.4	ENE	0.27	2.7	N	29.1	34.7	34.7	40.4	754.1	0.00	0.0	529	7.58	912	6.1	0.33	8.7	0.000	0.075	25.0	58	16.2	25.3	0.53	230	1	100.0	10
06/07/25	1:10 p	29.1	29.2	29.1	77	24.7	0.4	NNW	0.27	2.7	N	29.1	34.6	34.6	39.7	754.1	0.00	0.0	466	6.68	889	6.0	0.32	9.0	0.000	0.075	24.9	57	15.8	25.2	0.00	229	1	100.0	10
06/07/25	1:20 p	29.3	29.3	29.2	76	24.6	0.9	SSW	0.54	4.0	NE	29.3	34.7	34.7	39.1	754.0	0.00	0.0	393	5.63	462	6.8	0.36	10.2	0.000	0.076	24.9	58	16.1	25.2	0.00	229	1	100.0	10
06/07/25	1:30 p	29.4	29.4	29.3	75	24.5	0.4	SSW	0.27	3.1	SSE	29.4	34.7	34.7	41.1	753.9	0.00	0.0	641	9.19	983	6.5	0.35	8.6	0.000	0.077	25.0	56	15.6	25.2	0.00	226	1	99.1	10
06/07/25	1:40 p	29.4	29.4	29.4	74	24.3	0.4	SE	0.27	3.6	S	29.4	34.5	34.5	41.5	753.8	0.00	0.0	856	12.27	979	7.8	0.42	8.7	0.000	0.077	24.9	57	15.8	25.2	0.00	228	1	100.0	10
06/07/25	1:50 p	29.6	29.6	29.4	73	24.2	0.4	NE	0.27	2.7	SSE	29.6	34.7	34.7	38.0	753.8	0.00	0.0	292	4.19	348	4.2	0.22	5.6	0.000	0.078	24.9	57	15.8	25.2	0.00	228	1	100.0	10
